Songtitle,Artist(s),uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Everyday,"['Logic', 'Marshmello']",spotify:track:4EAV2cKiqKP5UPZmY6dejk,0.667,0.741,1,-4.099,1,0.0378,0.0425,0.0,0.0761,0.422,149.908
Wassup,"['Logic', 'Big Sean']",spotify:track:5KVciTEfXvpcFHR3RFbtJy,0.777,0.57,1,-6.833,1,0.0472,0.0869,0.0,0.121,0.321,139.993
State Of Emergency,"['Logic', '2 Chainz']",spotify:track:58cvckETahSOG74RP5WE99,0.675,0.675,0,-7.527,1,0.283,0.0826,0.0,0.12,0.622,173.922
Indica Badu,"['Logic', 'Wiz Khalifa']",spotify:track:0jqBo5RYn008f4ZY8kPewW,0.742,0.72,0,-2.876,1,0.116,0.0402,0.000846,0.0839,0.97,77.011
Suede,"['NxWorries', 'Anderson .Paak', 'Knxwledge']",spotify:track:4F07ku5lMBIoybFPStM2j4,0.669,0.735,10,-7.264,1,0.329,0.459,0.0,0.103,0.723,117.284
Freaky Friday (feat. Chris Brown),"['Lil Dicky', 'Chris Brown']",spotify:track:10Igtw8bSDyyFs7KIsKngZ,0.755,0.599,8,-5.042,1,0.224,0.147,0.0,0.109,0.755,133.123
Friday (feat.Jang Yi-jeong),"['IU', 'Jang Yi-jeong']",spotify:track:0GsRx0gPft6RmijIwMsKmG,0.681,0.525,9,-4.823,1,0.0512,0.619,0.0,0.103,0.551,80.052
Good Good Father,['Chris Tomlin'],spotify:track:1mWdyqs6Zvg8b1lKjDc8yB,0.429,0.587,9,-4.588,1,0.0275,0.315,0.0,0.108,0.164,145.003
So Will I (100 Billion X),['Hillsong UNITED'],spotify:track:1ed3wNCecRIp6SugyR0w2J,0.431,0.416,9,-10.376,1,0.0296,0.0462,2.01e-06,0.144,0.177,127.964
From The D To The A (feat. Lil Yachty),"['Tee Grizzley', 'Lil Yachty']",spotify:track:2NyrXRn4tancYPW6JwtTl2,0.851,0.625,10,-5.417,0,0.303,0.195,0.0,0.266,0.668,99.061
Sailor Moon,['lilbootycall'],spotify:track:6LKKmXkJqTRE1nuz6x40Wa,0.7,0.377,9,-15.07,1,0.342,0.0959,0.0,0.133,0.181,130.003
Me You,['Russ'],spotify:track:4f1QbCjIAgQwnf7ms9NXWx,0.702,0.762,8,-2.733,1,0.0328,0.00196,0.000451,0.142,0.233,95.019
Sunday,['Matty Wood$'],spotify:track:1rkczjrPToWgR7ldFn2fzu,0.71,0.643,7,-14.703,1,0.194,0.0451,0.0,0.0628,0.687,167.948
Mutual Butterflies,['Ryan Trey'],spotify:track:2X5E2EpqMboY20eBF8VG7M,0.688,0.614,3,-6.876,0,0.399,0.759,0.0,0.127,0.674,77.957
2006,['Skizzy Mars'],spotify:track:1Y7dZA71sPTudGSumYGZs1,0.725,0.754,2,-5.056,0,0.285,0.109,0.0,0.238,0.589,156.107
Wasting Time (feat. Simone Bisous),"['Taylor Bennett', 'Simone Bisous']",spotify:track:1E8vs5J2Xk2NxxFBzfNLQs,0.502,0.543,3,-9.858,1,0.166,0.46,1.16e-06,0.0901,0.485,112.514
Do I Wanna Know?,['Arctic Monkeys'],spotify:track:3rq5w4bQGigXOfdN30ATJt,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03
You Get Me So High,['The Neighbourhood'],spotify:track:5ulSn7Zhh7MylcgUGvynDb,0.554,0.889,7,-6.104,0,0.0423,0.19,0.0868,0.117,0.412,88.035
BILLY,['6ix9ine'],spotify:track:7bRRHQelMfrP86QYQlCsAq,0.768,0.702,4,-3.83,0,0.291,0.146,0.0,0.105,0.768,90.057
Street Jazz,"['Awon', 'Dephlow', 'Phoniks']",spotify:track:18Qp2oQlUvoG09Xh5vlp4Z,0.649,0.648,1,-7.275,0,0.343,0.744,0.0,0.114,0.639,93.294
Beach House,['boy pablo'],spotify:track:4Ura5SWeFhd9VccTDKkcLM,0.397,0.259,7,-15.436,1,0.0402,0.928,0.00677,0.293,0.22,171.493
Surprise Party (feat. Blackbear),"['Hoodie Allen', 'blackbear']",spotify:track:5UiT4e4DHwZrcVIXojU5um,0.671,0.699,6,-4.224,0,0.0647,0.00453,0.000277,0.173,0.379,72.946
So Sick,['Ne-Yo'],spotify:track:6brl7bwOHmGFkNw3MBqssT,0.452,0.574,6,-8.336,1,0.31,0.246,0.0,0.189,0.58,92.791
Breakfast At Tiffany's,['Deep Blue Something'],spotify:track:1uzWOoJdADfstQuFtQFTUn,0.622,0.829,2,-5.548,1,0.029,0.11,0.0,0.0954,0.539,110.367
Separate Ways (Worlds Apart),['Journey'],spotify:track:4ECNtOnqzxutZkXP4TE3n3,0.451,0.962,0,-3.947,1,0.0734,0.0188,3.17e-06,0.277,0.377,131.435
PCH,['Jaden'],spotify:track:3Ju7HGke5GYEXUJ3YWGOry,0.642,0.44,9,-10.909,0,0.0745,0.102,0.002,0.108,0.123,90.939
Icon - Remix,"['Jaden', 'Nicky Jam']",spotify:track:77GiFZSewl9oDfivcq3ZlK,0.753,0.895,0,-3.577,1,0.194,0.272,0.0,0.4,0.495,119.988
Love Shine,['The Black Skirts'],spotify:track:6l0xneNsyBAPXXNwwzHLS7,0.616,0.654,11,-5.395,0,0.0288,0.0534,0.00576,0.216,0.76,109.958
Midsummer Madness,"['88rising', 'Joji', 'Rich Brian', 'Higher Brothers', 'AUGUST 08']",spotify:track:0wFmawqundY8rOn9sZUqA6,0.409,0.678,9,-7.731,1,0.0878,0.359,4.76e-06,0.167,0.168,89.968
You Really Got Me,['Van Halen'],spotify:track:6ejipC6dh8CGi2WiUACOvN,0.464,0.944,1,-5.309,1,0.107,0.0159,5.66e-06,0.384,0.716,137.864
Surrender,['Cheap Trick'],spotify:track:58Y6BSkfvYMOlnzHEd4i7W,0.516,0.966,0,-5.769,1,0.0428,0.0058,1.84e-06,0.444,0.845,133.83
Life Goes On,"['Lil Baby', 'Gunna', 'Lil Uzi Vert']",spotify:track:2bSk87AVkCIIC3Bcligq1z,0.716,0.541,1,-7.909,1,0.149,0.0021,0.0,0.115,0.387,139.978
Bricks (feat. Migos),"['Carnage', 'Migos']",spotify:track:7yPHKFU9FSCwW4TgWODMrp,0.8,0.706,8,-6.134,1,0.327,0.198,0.0,0.118,0.394,145.938
All Gold Everything,['Trinidad James'],spotify:track:0pgeVJrdNok4KhbiM58ayZ,0.516,0.755,0,-8.868,0,0.351,0.0258,0.0,0.329,0.633,99.764
Bird Flu,['Lor Scoota'],spotify:track:65IraZWhn4uXrgvp1eoj8X,0.96,0.532,0,-7.529,1,0.271,0.00516,0.0,0.0719,0.393,130.022
Tampering With Evidence,"['Moneybagg Yo', 'YoungBoy Never Broke Again']",spotify:track:7sVryAf2sqT0I9fBbp0LJB,0.699,0.619,11,-5.685,1,0.133,0.00674,0.0,0.132,0.477,79.04
Method Man,['Wu-Tang Clan'],spotify:track:5XLC8xoqyua4U7wJiZAWik,0.903,0.519,7,-10.109,1,0.307,0.0286,0.000907,0.328,0.596,101.561
Free Fallin',['Tom Petty'],spotify:track:5tVA6TkbaAH9QMITTQRrNv,0.623,0.449,5,-13.333,1,0.0253,0.212,0.0,0.0613,0.572,84.383
Hollywood,['Jonas Brothers'],spotify:track:4NOvRieXgTL0Mi1RaDXpYq,0.497,0.931,0,-3.228,1,0.107,0.000733,0.0,0.0836,0.593,164.956
Cringe,['Matt Maeson'],spotify:track:1OV5oUwrL4iw0UTfZy3pGe,0.727,0.47,5,-7.698,1,0.0588,0.0749,0.0,0.0884,0.397,126.044
S.O.S.,['Jonas Brothers'],spotify:track:5hbytEkl5hUB5iRb0cCtZi,0.598,0.685,7,-3.873,1,0.0679,0.000628,0.0,0.149,0.712,137.035
All Mine,['Kanye West'],spotify:track:3qnoOm4fwZPBS116f5hpgF,0.925,0.308,11,-6.562,0,0.338,0.125,0.0,0.0933,0.265,122.099
Ghost Town,"['Kanye West', 'PARTYNEXTDOOR']",spotify:track:6Bg7MznA9X0dIhlAsLyBYj,0.572,0.543,7,-4.251,0,0.0287,0.0954,0.0,0.329,0.329,83.364
No Mistakes,['Kanye West'],spotify:track:1DdgqEZk4Hqfpl3drdXJun,0.64,0.643,10,-2.442,0,0.0625,0.039,0.0,0.109,0.335,80.025
Yikes,['Kanye West'],spotify:track:2r4JRwcbIeuAzWjH4YXlLs,0.676,0.777,1,-3.241,0,0.357,0.145,0.0,0.228,0.226,173.931
I Thought About Killing You,['Kanye West'],spotify:track:6EuE9M1viu9gkdFSafia9o,0.742,0.407,2,-6.938,1,0.426,0.822,0.0,0.0541,0.39,116.064
Wouldn't Leave,"['Kanye West', 'PARTYNEXTDOOR']",spotify:track:3dG6tjetoR4GMmUGZUprLt,0.555,0.433,3,-8.559,1,0.546,0.494,0.0,0.313,0.352,164.236
I'm Upset,['Drake'],spotify:track:54oMZ3blwWwuPN4wEoG5mk,0.899,0.592,11,-7.901,0,0.333,0.263,0.0,0.0831,0.504,149.953
I'll Be Fine,['Juice WRLD'],spotify:track:7rGAgM8W1ftKjpmSqNlykk,0.523,0.678,8,-6.071,1,0.0692,0.000616,0.0,0.142,0.277,159.909
Hurt Me,['Juice WRLD'],spotify:track:5XwDaNtMJZRpEEYdA7Qpl9,0.62,0.451,6,-7.623,1,0.17,0.128,0.0,0.373,0.294,156.906
I'm Still,['Juice WRLD'],spotify:track:26ky62toC9D5LGLMvpVQxD,0.631,0.672,11,-4.583,1,0.0347,0.0811,0.0,0.154,0.282,119.948
End Of The Road,['Juice WRLD'],spotify:track:7sHUdN1bgpLjIWFG0CYJqs,0.373,0.717,1,-5.833,0,0.083,0.0568,0.0,0.114,0.293,109.977
Black & White,['Juice WRLD'],spotify:track:2gsTjQouGxmD0z9K5MYpoI,0.776,0.736,7,-4.612,1,0.247,0.0802,0.0,0.159,0.233,147.946
Lean Wit Me,['Juice WRLD'],spotify:track:3RWM7z6BF8C6z9ypLtxz4M,0.665,0.651,1,-5.515,1,0.156,0.0414,0.0,0.0896,0.237,163.935
Jukebox Joints (feat. Joe Fox & Kanye West),"['A$AP Rocky', 'Joe Fox', 'Kanye West']",spotify:track:2gAGWaK4wvt2xrFUlR4mK8,0.284,0.803,2,-5.293,0,0.173,0.302,0.0,0.242,0.553,67.536
Purity (feat. Frank Ocean),"['A$AP Rocky', 'Frank Ocean']",spotify:track:2MF4HtZHBoUliOi9nOAbS0,0.593,0.37,11,-11.674,0,0.397,0.832,0.0,0.108,0.312,135.391
Distorted Records,['A$AP Rocky'],spotify:track:57q6BgYP4gN6hPQViCB3um,0.655,0.869,1,-4.342,0,0.212,0.141,2.32e-05,0.312,0.0818,135.809
Praise The Lord (Da Shine) (feat. Skepta),"['A$AP Rocky', 'Skepta']",spotify:track:7ycWLEP1GsNjVvcjawXz3z,0.854,0.569,5,-8.151,0,0.106,0.0609,0.0816,0.1,0.294,80.015
Changes,['A$AP Rocky'],spotify:track:1dzwFgBlZNxt28aQOinNGn,0.478,0.326,3,-10.992,1,0.0693,0.468,0.000221,0.323,0.338,137.04
"Black Tux, White Collar",['A$AP Rocky'],spotify:track:0ssVSd3juASNuehS9LWMFW,0.695,0.596,4,-7.685,1,0.247,0.478,0.0,0.133,0.265,75.997
"A$AP Forever REMIX (feat. Moby, T.I. & Kid Cudi)","['A$AP Rocky', 'Moby', 'T.I.', 'Kid Cudi']",spotify:track:3oHkMCVJyOcjg5FhfLc2Rq,0.428,0.754,5,-6.416,0,0.179,0.3,0.0,0.136,0.394,125.948
Origins,['Tennis'],spotify:track:3UFa8A2LDIh5wlHeETguP4,0.58,0.827,5,-4.692,0,0.0281,0.0464,0.0202,0.162,0.949,113.906
Howlin' for You,['The Black Keys'],spotify:track:0grFc6klR3hxoHLcgCYsF4,0.705,0.735,11,-6.646,1,0.0931,0.028,0.0783,0.112,0.448,132.627
Walking On A Dream,['Empire of the Sun'],spotify:track:0mBkoM8r7KAQzZij5swTUL,0.87,0.699,5,-5.541,0,0.0459,0.245,6.76e-06,0.0588,0.726,126.967
Cigarette Daydreams,['Cage The Elephant'],spotify:track:2tznHmp70DxMyr2XhWLOW0,0.636,0.676,2,-3.442,1,0.0263,0.0807,0.0,0.0831,0.273,113.98
Boong-Boong,"['HAON', 'Sik-K', 'GroovyRoom']",spotify:track:4dC5kCBQEMgRjEvlavlsZy,0.824,0.694,0,-4.527,0,0.0563,0.426,0.0,0.084,0.927,136.027
Toxic,['Britney Spears'],spotify:track:6I9VzXrHxO9rA9A5euc8Ak,0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04
Over My Head,['Echosmith'],spotify:track:3haxUceS8i97BLoB7WH3Mj,0.656,0.723,11,-4.975,0,0.0262,0.0968,0.0,0.343,0.904,105.049
Over My Head (Cable Car),['The Fray'],spotify:track:1N62wozuHCvczCkY4QidpP,0.592,0.729,8,-4.156,1,0.0448,0.022,0.0,0.0653,0.709,116.03
Ikuyo (feat. 2 Chainz & Sophia Black),"['KYLE', '2 Chainz', 'Sophia Black']",spotify:track:2NWoKpRnMfxocVAXF8ASwk,0.765,0.609,1,-5.285,0,0.19,0.255,1.28e-05,0.119,0.547,77.957
Zoom,['KYLE'],spotify:track:1nPUyAopPGxIrV7qtRVjIy,0.782,0.503,2,-8.214,1,0.305,0.035,0.0,0.266,0.657,129.904
Kylie,['Jordan Solomon'],spotify:track:1RNqHh3As8d9H2YqXMTH88,0.469,0.736,0,-5.94,1,0.319,0.118,0.0,0.113,0.692,92.03
Beautiful,['Bazzi'],spotify:track:1OilOIju6R9ia8vilNjChh,0.666,0.677,2,-5.743,1,0.0326,0.214,0.0,0.0979,0.178,100.014
In My Blood,['Shawn Mendes'],spotify:track:79jX8RM5CgPqDKdGEKNW9K,0.628,0.715,5,-7.097,1,0.0541,0.0524,0.0,0.119,0.429,139.991
The Middle,"['Zedd', 'Maren Morris', 'Grey']",spotify:track:2ARqIya5NAuvFVHSN3bL0m,0.748,0.652,7,-3.02,1,0.058,0.208,0.0,0.128,0.431,106.914
Love Lies (with Normani),"['Khalid', 'Normani']",spotify:track:45Egmo7icyopuzJN0oMEdk,0.708,0.648,6,-5.626,1,0.0449,0.0956,0.0,0.134,0.338,143.955
Playinwitme (feat. Kehlani),"['KYLE', 'Kehlani']",spotify:track:43cFjTTCD9Cni4aSL0sORz,0.687,0.587,1,-5.772,0,0.124,0.302,0.0,0.278,0.676,156.575
OTW,"['Khalid', '6LACK', 'Ty Dolla $ign']",spotify:track:6Hgh47WXVKtXN5zGOu0hjI,0.652,0.678,2,-6.183,1,0.0541,0.183,3.26e-05,0.106,0.28,72.989
Hard in Da Paint,['Waka Flocka Flame'],spotify:track:3XQY8kDjI8LARMIC9xkxQk,0.611,0.66,11,-5.883,1,0.0839,0.198,0.0,0.365,0.583,71.544
15th and the 1st (feat. YG Hootie),"['Gucci Mane', 'Waka Flocka Flame']",spotify:track:5EPQXIxxry2D99lq31Hdu7,0.83,0.672,11,-4.199,1,0.333,0.0362,0.0,0.106,0.406,140.081
Yes Indeed,"['Lil Baby', 'Drake']",spotify:track:1wsf1YFQSYND45y0GzJmf7,0.964,0.346,5,-9.309,0,0.53,0.035,0.0,0.108,0.562,119.958
It's Casual,['Maritime'],spotify:track:5N1V79RM9rMzNB0tZw8PDd,0.481,0.855,6,-6.895,0,0.0338,0.00421,0.00465,0.38,0.583,107.989
Eun Tae-Hee's Ballad,['Paintamelody'],spotify:track:3gwbu0sOEallNYGdfRVprY,0.387,0.0398,5,-30.218,1,0.0535,0.989,0.862,0.158,0.195,137.718
Inferiority Complex,"['Park Kyung', 'EUNHA']",spotify:track:4hRA2rCPaCOpoEIq5qXaBz,0.761,0.796,9,-4.277,1,0.298,0.309,0.0,0.136,0.892,102.249
That Nurse,['nak'],spotify:track:5C1786h6uX2SttBQkNAIdy,0.766,0.75,8,-5.878,1,0.243,0.093,0.0,0.31,0.189,136.98
Aswang,['nak'],spotify:track:44FLWbq2jzGchkw2VofqBR,0.785,0.914,9,-5.61,0,0.192,0.305,2.27e-05,0.667,0.553,116.016
All Nighters,['nak'],spotify:track:4yjfk7tG83gZmYCybve3ow,0.726,0.832,5,-5.482,1,0.328,0.244,0.0,0.646,0.64,91.143
Final Fantasy,['nak'],spotify:track:6Ddad9BlznwBBnD3f7gB82,0.606,0.886,11,-5.005,1,0.402,0.213,0.0,0.106,0.53,119.643
Translated Letters,"['nak', 'Jae Jin']",spotify:track:3KRgVxeKFfXmWYdLGtLUu3,0.571,0.567,2,-8.6,0,0.359,0.834,0.0,0.266,0.597,88.668
Love's Absence,"['nak', 'Sarah Lee']",spotify:track:0p425f5v604xWuZHlEwGAB,0.783,0.516,11,-7.463,0,0.371,0.39,0.0,0.05,0.521,78.958
Heartmelt,"['nak', 'Sam Ock']",spotify:track:11zGj5zHxmztVJtJUzLtFH,0.746,0.604,6,-5.712,0,0.124,0.515,0.0,0.0729,0.805,88.031
Like Waves,['nak'],spotify:track:3CHinSxSTqIOMdzt9Fzr5U,0.65,0.818,11,-4.295,0,0.409,0.433,0.0,0.134,0.396,129.002
White Rice,['nak'],spotify:track:3L1UXvgOQuyI82N2lV4SUj,0.626,0.839,9,-5.561,1,0.348,0.113,0.0,0.104,0.631,94.199
uzuri.,['Fushou.'],spotify:track:1iUUNCW2hOGtco5bqwR9xp,0.567,0.279,6,-12.328,1,0.326,0.548,0.0461,0.136,0.82,109.004
Uzutrap,"['J. Han', 'Yetti Paints']",spotify:track:7tZsT7e40yJ5rv729j2NrU,0.925,0.537,1,-8.642,0,0.389,0.384,0.0,0.0663,0.926,136.006
Won Jang Nim,['Won Jang'],spotify:track:6sv8MafeD53NBUvv1IdQFI,0.938,0.865,0,-4.463,1,0.235,0.532,0.0,0.0789,0.664,134.957
You Know Me Well,['Won Jang'],spotify:track:6KLD32dpRFwCRhLbpRpwDw,0.793,0.743,6,-5.431,1,0.103,0.367,0.000375,0.35,0.954,145.012
Jang Wave,"['Won Jang', 'Sam Ock']",spotify:track:6ZI7yAwrBtG1rX0pbKBw1h,0.713,0.51,0,-5.979,1,0.394,0.713,0.0,0.11,0.76,129.787
Feeling Better,['Won Jang'],spotify:track:7lv0PlScJxJ4L6dyS5Ouou,0.758,0.758,1,-5.812,1,0.126,0.302,0.0,0.104,0.457,108.98
Smile Again,"['Won Jang', 'Annie']",spotify:track:5PEjZ8tUDP7dtDnrUJwWpM,0.665,0.703,4,-5.45,1,0.187,0.368,0.0,0.143,0.567,87.958
More,['Won Jang'],spotify:track:2wE7OgYpKznBWEXYJqkjgW,0.872,0.733,11,-3.987,1,0.233,0.511,0.0,0.0364,0.893,90.005
Jang Pop,"['Won Jang', 'Annie']",spotify:track:2RMOxy2ZBo32HiVUUHPvJM,0.852,0.803,1,-4.806,1,0.0825,0.421,0.0,0.263,0.67,110.0
Life,['Won Jang'],spotify:track:20NCyNh2WP4edJ648tVbdf,0.901,0.574,1,-6.155,1,0.217,0.415,0.0,0.128,0.649,130.046
What It Do,['Won Jang'],spotify:track:2GlJW5TNGgHmahMzE1kN9i,0.894,0.549,7,-8.751,1,0.206,0.405,0.0,0.0684,0.369,140.002
Worries Can Wait,['Won Jang'],spotify:track:2rCrZOiRFYVWNS8G7C5mnC,0.691,0.649,6,-5.426,1,0.181,0.551,0.0,0.0869,0.479,134.876
R.I.P. Fredo (feat. Young Nudy) - Notice Me,"['Playboi Carti', 'Young Nudy']",spotify:track:45Ln3F9PRPYTXBcMFkZMzS,0.912,0.755,2,-5.394,1,0.141,0.102,0.0,0.179,0.625,140.051
R.I.P.,['Playboi Carti'],spotify:track:3L0IKstjUgDFVQAbQIRZRv,0.725,0.725,8,-6.067,0,0.159,0.0119,0.0,0.086,0.515,140.003
Poke It Out (with Nicki Minaj),"['Playboi Carti', 'Nicki Minaj']",spotify:track:2rPSFKzGeqUWwfcCFVkkq3,0.894,0.59,9,-5.716,1,0.221,0.0969,8.9e-06,0.329,0.576,147.009
Shoota (feat. Lil Uzi Vert),"['Playboi Carti', 'Lil Uzi Vert']",spotify:track:2BJSMvOGABRxokHKB0OI8i,0.673,0.649,1,-8.433,0,0.196,0.188,0.0,0.122,0.47,153.075
Lucid Dreams,['Juice WRLD'],spotify:track:32iYwQ4OYiurnGnOfJ1aEh,0.437,0.481,11,-9.681,0,0.237,0.377,0.0,0.33,0.216,83.606
All Girls Are The Same,['Juice WRLD'],spotify:track:1dNyRyz1QBN9kO1etUs1PI,0.673,0.449,0,-9.727,1,0.298,0.169,0.00115,0.0731,0.216,161.925
Nothin' on You (feat. Bruno Mars),"['B.o.B', 'Bruno Mars']",spotify:track:59dLtGBS26x7kc0rHbaPrq,0.688,0.853,10,-5.814,1,0.0493,0.386,0.0,0.0862,0.743,103.993
Beautiful Girls,['Sean Kingston'],spotify:track:1hGy2eLcmC8eKx7qr1tOqx,0.762,0.661,1,-6.075,0,0.0687,0.15,0.0,0.256,0.769,130.009
This Is America,['Childish Gambino'],spotify:track:6EEchdRtnndmJHa5yRebCc,0.854,0.463,5,-6.159,1,0.137,0.117,0.0,0.354,0.549,120.024
Doki Doki Literature Club!,['Dan Salvato'],spotify:track:2OSFhiIBYXIBiVOyLnDQ2b,0.796,0.493,0,-17.375,1,0.0367,0.0612,0.448,0.1,0.766,110.012
Nun of Dat (feat. Lil Pump),"['BlocBoy JB', 'Lil Pump']",spotify:track:7GSJfVVX5tA3ytAp3dKJp5,0.845,0.711,1,-4.458,1,0.308,0.237,0.0,0.368,0.722,132.011
Shoot,['BlocBoy JB'],spotify:track:256NDbdrt1fM2UusOE5wZa,0.823,0.844,11,-3.141,0,0.264,0.0595,0.0,0.334,0.571,135.097
Mamacita,['BlocBoy JB'],spotify:track:1P8BEXMTmeYE6ps3vnOdDI,0.939,0.648,4,-4.313,0,0.297,0.186,1.18e-06,0.115,0.743,130.041
Nike Swoosh (feat. YG),"['BlocBoy JB', 'YG']",spotify:track:36Sw1oAj6mI17Ro5NShpXS,0.835,0.678,0,-5.526,1,0.296,0.108,0.0,0.128,0.61,145.029
Youth (feat. Khalid),"['Shawn Mendes', 'Khalid']",spotify:track:3Wf2YGdYT8xVdNsQSoRKk9,0.625,0.589,6,-6.627,0,0.0858,0.518,0.0,0.197,0.33,100.003
Changed Up - From Jxmtro,"['Rae Sremmurd', 'Swae Lee', 'Slim Jxmmi']",spotify:track:3c9InZHP0GFFhvB2QR0uzc,0.84,0.592,0,-6.358,0,0.115,0.0298,0.0,0.132,0.348,130.039
"""42"" - From SR3MM","['Rae Sremmurd', 'Swae Lee', 'Slim Jxmmi']",spotify:track:5lf91lPnGKtIqsgmG1z8Ip,0.968,0.563,1,-6.744,1,0.125,0.00275,0.0,0.108,0.324,130.039
Powerglide (feat. Juicy J) - From SR3MM,"['Rae Sremmurd', 'Swae Lee', 'Slim Jxmmi', 'Juicy J']",spotify:track:1BuZAIO8WZpavWVbbq3Lci,0.713,0.831,1,-4.75,0,0.15,0.0168,0.0,0.118,0.584,173.948
Brxnks Truck - From Jxmtro,"['Rae Sremmurd', 'Swae Lee', 'Slim Jxmmi']",spotify:track:4Eg6Y5tciACpwMI5s8EqdY,0.851,0.479,2,-10.011,1,0.261,0.0112,0.0,0.301,0.424,132.98
Perplexing Pegasus - From SR3MM,"['Rae Sremmurd', 'Swae Lee', 'Slim Jxmmi']",spotify:track:1ung2kajpw24AaHjBtPY3j,0.899,0.448,1,-8.789,1,0.0738,0.000692,2.36e-05,0.365,0.302,145.975
Juggling Biddies (feat. Riff 3x) - From Jxmtro,"['Rae Sremmurd', 'Swae Lee', 'Slim Jxmmi', 'Riff 3x']",spotify:track:40ZQBmv6mvSM9y8SSVV4kS,0.731,0.783,3,-5.692,1,0.109,0.0703,0.0,0.143,0.621,147.757
Heat Of The Moment - From Swaecation,"['Rae Sremmurd', 'Swae Lee', 'Slim Jxmmi']",spotify:track:50FjIvCsiIPIfeFyXdh2hx,0.624,0.649,1,-5.823,0,0.0435,0.0526,0.0,0.108,0.183,93.923
CLOSE (feat. Travis Scott) - From SR3MM,"['Rae Sremmurd', 'Swae Lee', 'Slim Jxmmi', 'Travis Scott']",spotify:track:1oUudyBYVGMIC8JXeIsFzq,0.691,0.736,0,-4.993,1,0.0321,0.104,0.0,0.111,0.0395,140.034
Cap (feat. Trouble) - From Jxmtro,"['Rae Sremmurd', 'Swae Lee', 'Slim Jxmmi', 'Trouble']",spotify:track:00Y9yFHumsN6Cg4cK3wXkM,0.862,0.555,10,-4.817,0,0.0516,0.0166,0.0,0.103,0.076,130.01
Players Club - From Jxmtro,"['Rae Sremmurd', 'Swae Lee', 'Slim Jxmmi']",spotify:track:5NhuU6acKHoJ77QbbCkQEy,0.902,0.635,0,-5.565,1,0.215,0.164,0.0,0.0844,0.199,120.07
beibs in the trap,['Travis Scott'],spotify:track:0ESJlaM8CE1jRWaNtwSNj8,0.743,0.571,7,-6.054,0,0.145,0.24,0.0,0.291,0.495,119.054
Watch (feat. Lil Uzi Vert & Kanye West),"['Travis Scott', 'Lil Uzi Vert', 'Kanye West']",spotify:track:3DoBTwfr8yi2LN08SBpFkN,0.706,0.559,4,-5.216,0,0.0416,0.0372,0.0,0.379,0.252,78.534
Sugar Wraith,['Post Malone'],spotify:track:0MrRAUcB8AZiB9ue2VOBYe,0.606,0.775,5,-4.269,0,0.0671,0.262,0.0,0.1,0.307,164.02
Candy Paint,['Post Malone'],spotify:track:32lItqlMi4LBhb4k0BaSaC,0.664,0.667,4,-5.941,1,0.154,0.64,1.22e-06,0.0753,0.381,180.064
Ball For Me (feat. Nicki Minaj),"['Post Malone', 'Nicki Minaj']",spotify:track:6IaieqiCVvsNvEt6Y7yOFa,0.797,0.55,9,-4.166,1,0.24,0.513,0.0,0.0786,0.543,134.206
Over Now,['Post Malone'],spotify:track:09IOPhEh1OMe0HD9b36FJk,0.569,0.777,4,-4.041,0,0.0834,0.139,0.0,0.132,0.181,164.027
rockstar (feat. 21 Savage),"['Post Malone', '21 Savage']",spotify:track:0e7ipj03S05BNilyu5bRzt,0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.801
Paranoid,['Post Malone'],spotify:track:3fpVWegR6YOS1Yk5HSMYIq,0.625,0.536,0,-5.428,1,0.0776,0.038,2.31e-05,0.167,0.253,159.914
Psycho (feat. Ty Dolla $ign),"['Post Malone', 'Ty Dolla $ign']",spotify:track:3swc6WTsr7rl9DqQKQA55C,0.75,0.56,8,-8.094,1,0.105,0.546,0.0,0.111,0.459,140.06
You'll Never Find Another Love Like Mine,['Lou Rawls'],spotify:track:6OylYIXrIH2E3hgg7Dqz5M,0.691,0.718,2,-8.457,1,0.0317,0.148,4.81e-05,0.108,0.934,110.623
Better Now,['Post Malone'],spotify:track:7dt6x5M1jzdTEt8oCbisTK,0.68,0.578,10,-5.804,1,0.04,0.331,0.0,0.135,0.341,145.038
Spoil My Night (feat. Swae Lee),"['Post Malone', 'Swae Lee']",spotify:track:5VuxWXbt7XENQCtE9TzpTv,0.672,0.717,1,-2.714,1,0.034,0.341,2.4e-05,0.106,0.225,160.981
Famous,['Mason Ramsey'],spotify:track:2HGymMoOdB4ZYv0AAqYmgF,0.534,0.815,5,-2.815,1,0.0278,0.708,0.0,0.111,0.564,159.848
Zack And Codeine,['Post Malone'],spotify:track:5lZZmityu9TAjNvSY6GLhR,0.738,0.824,5,-5.165,0,0.0437,0.15,0.0,0.132,0.386,138.039
Live Your Life,"['T.I.', 'Rihanna']",spotify:track:3jlbL2OTD5YmIunYzgQTAN,0.375,0.862,11,-3.363,0,0.255,0.071,0.0,0.211,0.478,159.841
Good Life,"['Kanye West', 'T-Pain']",spotify:track:1fLdeDTrJWNkwOeFyAVLvF,0.435,0.802,1,-6.871,1,0.324,0.00376,0.0,0.467,0.454,84.267
