Songtitle,Artist(s),uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
SUPER PREDATOR (feat. Styles P),"['Joey Bada$$', 'Styles P']",spotify:track:40IA43oCCng5zGXrfTiRKo,0.743,0.798,1,-5.037,1,0.196,0.325,1.76e-06,0.134,0.862,92.041
BABYLON (feat. Chronixx),"['Joey Bada$$', 'Chronixx']",spotify:track:4VnBqHw9MOYS82p9XZ09gi,0.626,0.698,9,-4.662,0,0.284,0.561,0.0,0.359,0.412,85.957
LEGENDARY (feat. J. Cole),"['Joey Bada$$', 'J. Cole']",spotify:track:7JUA6qEiMD8AeUZJqcZVzc,0.715,0.654,11,-5.413,0,0.181,0.193,7.04e-06,0.0878,0.425,81.94
"RING THE ALARM (feat. Nyck Caution, Kirk Knight & Meechy Darko)","['Joey Bada$$', 'Nyck Caution', 'Kirk Knight', 'Meechy Darko']",spotify:track:0wq0Ej41YmSVlMqTxDU9j9,0.649,0.903,10,-4.597,0,0.401,0.239,0.0,0.201,0.478,96.992
DEVASTATED,['Joey Bada$$'],spotify:track:72gu8Kc5KjYdAoVPpRkZMk,0.83,0.568,10,-7.246,0,0.0731,0.0858,1.02e-06,0.318,0.489,123.001
Victory,['Joey Bada$$'],spotify:track:6drZfqIsfdnDRR08fHqaWE,0.636,0.809,5,-4.736,0,0.267,0.0453,0.0,0.516,0.536,96.742
Everybody,['Logic'],spotify:track:51sVgPeBHYwbeM1cWegVqR,0.885,0.936,1,-5.879,1,0.0894,0.148,0.0,0.0703,0.763,110.011
Patty Cake,['Kodak Black'],spotify:track:3Sz9VwghywEClUXq8vzt2b,0.815,0.794,1,-6.496,0,0.179,0.0201,0.0,0.0646,0.388,152.048
Twenty 8,['Kodak Black'],spotify:track:52OInUlQusYhJ6L3zMVLpM,0.767,0.802,7,-4.826,1,0.0575,0.00486,3.15e-05,0.0929,0.324,142.019
Up in Here,['Kodak Black'],spotify:track:4eiOk988Prwe5MQnnQtglt,0.654,0.646,7,-6.403,0,0.446,0.382,0.0,0.143,0.413,87.913
Day for Day,['Kodak Black'],spotify:track:6YOgXjBp1fLqnZfKLCNYhd,0.718,0.557,5,-8.227,1,0.379,0.311,0.0,0.0682,0.493,80.963
Conscience (feat. Future),"['Kodak Black', 'Future']",spotify:track:6OK2jHQub9ZMGD1blTvprV,0.665,0.707,8,-3.652,1,0.155,0.0433,0.0,0.115,0.128,160.057
Young Dumb & Broke,['Khalid'],spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,0.798,0.539,1,-6.351,1,0.0421,0.199,1.66e-05,0.165,0.394,136.949
We Want Some P--sy,['2 LIVE CREW'],spotify:track:4ZT9EKb1iN9Cd5omcHcfoZ,0.904,0.645,2,-9.986,0,0.0759,0.315,0.0,0.416,0.725,124.935
Yesterday - Remastered 2015,['The Beatles'],spotify:track:4E5rL7YL0hVUPqeMSpjEF2,0.401,0.189,0,-11.189,1,0.0287,0.871,0.0,0.0968,0.357,94.509
